Datum dobave,SIPXbase,SIPXeuro-peak,SIPX1,SIPX2,SIPX3,SIPX4,SIPX5,SIPX6,SIPX7,SIPX8,SIPX9,SIPX10,SIPX11,SIPX12,SIPX13,SIPX14,SIPX15,SIPX16,SIPX17,SIPX18,SIPX19,SIPX20,SIPX21,SIPX22,SIPX23,SIPX24,SIPX25
07/17/24,124.97,122.03,96.85,80.33,76.91,74.92,74.43,82,108.77,109.07,105.7,110,106.99,106.28,101.25,104.8,104.8,108.77,115,131.58,148,221.22,305.93,243.38,165.41,116.98,
07/16/24,99.6,96.26,93.44,74.1,68.75,57.62,51.86,58.28,89.8,91.06,82.34,66.44,43.66,41.55,48.76,70.13,66.31,106.75,95.02,109.57,130,294.59,214.56,181.44,134.2,120.05,
07/15/24,120.93,120.85,91.98,73.25,66.22,70.03,70.15,87.68,131.24,142.51,121.62,105.83,105.58,104.56,102.01,101,103.14,104.25,70.6,107.45,154.23,269.93,303.38,199.64,124.24,91.74,
07/14/24,37.14,-8.6,94.94,71.26,61.28,50.93,53.35,52.15,44.44,14.28,0.29,-2.92,-20.34,-40.51,-59.43,-73.83,-66.67,-41.02,-2.49,12.75,70.37,120.55,187.26,143.29,121.72,99.7,
07/13/24,45.03,20.27,101.16,61.07,56.37,50.11,39.58,37.97,50.12,33.87,26.6,20.97,5.15,-0.08,-0.18,-4.97,-14.8,-10.48,10.09,45.22,56.38,109.36,119.34,107.16,101.17,79.53,
07/12/24,100.93,96.41,104.74,89.51,83.11,80.91,75.81,93.21,111.81,133.35,106.88,91.68,85.97,83.95,79.33,70.02,83.52,85.31,89.35,85.68,140.83,154.34,150.51,142.99,106.85,92.73,
07/11/24,116.85,112.07,95.53,80.38,79.45,76.11,77.39,83.55,122.55,113.92,106.35,102.53,86.47,102.06,101.44,86.42,86.43,86.53,100.02,101.77,171.02,213.82,234.29,210.81,153.49,131.98,
07/10/24,94.33,88.01,66.06,61.57,60.53,58.36,58.13,66.32,83.55,100.87,101.99,84.93,65,56.08,57.65,60.49,57.55,62.22,69.37,91.25,139.6,209.93,219.57,184.86,137.12,110.85,
07/09/24,94.93,86.68,101.99,87.29,80.72,75.35,71.85,81.08,108.43,119.67,94.77,64.18,46.63,33.71,21.95,87.34,104.2,105.38,102.31,82.43,125.57,171.73,188.36,132.73,114.01,76.75,
07/08/24,100.73,86.78,83.75,78.35,77.86,75.32,75.17,95,124.1,127.67,127.1,81.57,58.32,56.44,63.04,57.1,58.86,70.49,69.85,90.07,129.88,178.62,213.93,192.03,132.7,100.34,
07/07/24,31.38,15.54,24.46,21.66,20.94,20.27,17.54,12.21,9.37,2.19,-0.05,-3.49,-5.03,-4.95,-5.48,-11.51,-12.02,-0.64,13.42,41.05,75.89,99.33,110.99,118.17,112.93,95.93,
07/06/24,17.41,-7.41,100,66.44,61.99,46.65,39.65,30.93,16.04,5.45,3.43,0.01,-7.47,-23.69,-28.91,-28.33,-48.08,-33.57,10.02,16.72,21.72,29.2,40.74,26.55,39.16,33.16,
07/05/24,51.69,27.88,49.57,36.52,35.13,35.45,32.98,34.57,51.89,74.43,54.04,18.64,3.6,2.01,9.59,5.9,6.57,10.55,12.05,23.86,65.77,122,178.27,170.25,106.33,100.65,
07/04/24,65.8,56.32,73.75,63.99,55.25,46.71,47.48,50.13,63.77,74.27,57.72,44.49,30.36,24.33,36.87,22.21,31.52,59.07,92.65,100.14,79.23,97.25,147.16,113.85,94.16,72.76,
07/03/24,99.9,102.41,76.62,74.18,70.47,70.63,71.57,77.28,110.43,121.29,133.54,91.62,72.71,67.23,99.26,98,100,102.24,102.28,106.32,113.84,141.92,193.71,120.14,104.83,77.45,
07/02/24,94.78,93.83,81.99,78.84,77.63,77.5,79.22,78.5,106.46,102.51,120,107.13,102.13,97.23,89.95,72.87,65.05,71.18,79.69,82.8,107.81,130.15,144.08,120.19,112.27,89.47,
07/01/24,125.19,116.17,92.35,82.77,75.88,75.36,73.92,83.97,162.49,168.06,146,127.45,110.32,106.91,84.13,75.98,81.82,79.72,97.92,118.64,193.61,171.51,383.9,176.32,129.55,105.86,
06/30/24,47.99,18.63,87.87,63.06,62.58,62.31,57.12,46.17,43.05,18.71,6.83,0.82,0,0,-0.02,-1.55,-1.12,0,1.12,41.85,69.4,106.19,140.64,129.5,115.16,102.16,
06/29/24,71.49,39.34,108.86,103.49,99.93,100.21,94.88,93.45,84.79,73.79,60.96,29.58,5.04,0.06,0,-0.37,0.02,3.55,19.24,79.5,105.1,169.44,165.54,117.14,105,96.65,
